127.0.0.1 - - [19/Apr/2020:19:14:12 +0300] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:14:49 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:14:49 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:15:15 +0300] "POST /DWPtoka/Nayta.jsp HTTP/1.1" 200 420
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:15:15 +0300] "GET /DWPtoka/Scripts/main.js HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:15:15 +0300] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:15:29 +0300] "POST /DWPtoka/Nayta.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:15:29 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:16:41 +0300] "POST /DWPtoka/Nayta.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:16:41 +0300] "GET /DWPtoka/Scripts/main.js HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:25:05 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:25:11 +0300] "POST /DWPtoka/Nayta.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:25:11 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:26:16 +0300] "POST /DWPtoka/Nayta.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:26:16 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:28:05 +0300] "POST /DWPtoka/Nayta.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:28:05 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:31:54 +0300] "POST /DWPtoka/Nayta.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:31:54 +0300] "GET /DWPtoka/Scripts/main.js HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:31:59 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:34:01 +0300] "POST /DWPtoka/Nayta.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:34:01 +0300] "GET /DWPtoka/Scripts/main.js HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [19/Apr/2020:19:34:07 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [19/Apr/2020:20:12:08 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [19/Apr/2020:20:12:42 +0300] "POST /DWPtoka/Nayta.jsp HTTP/1.1" 200 308
0:0:0:0:0:0:0:1 - - [19/Apr/2020:20:12:42 +0300] "GET /DWPtoka/Scripts/main.js HTTP/1.1" 404 740
0:0:0:0:0:0:0:1 - - [19/Apr/2020:20:12:47 +0300] "GET /DWPtoka/Kysy.jsp HTTP/1.1" 200 716
0:0:0:0:0:0:0:1 - - [19/Apr/2020:20:14:47 +0300] "GET /Kommunikaatio/Index.jsp HTTP/1.1" 200 376
0:0:0:0:0:0:0:1 - - [19/Apr/2020:20:14:47 +0300] "GET /favicon.ico HTTP/1.1" 404 720
